C64,is_high_regime,high_regime_days,days_since_last_pm,C33,dslp_x_hour,hour,hour_x_c33,is_special_recipe
C64_10331,1,1.5298854166666667,1.5298854166666667,3.0,18.358625,12,36.0,0
C64_10333,1,1.5285312500000001,1.5285312500000001,3.0,18.342375,12,36.0,0
C64_10334,1,1.531204861111111,1.531204861111111,3.0,18.374458333333333,12,36.0,0
C64_10337,1,1.5365902777777778,1.5365902777777778,3.0,18.439083333333333,12,36.0,0
C64_1034,0,0.0,1.0449756944444444,5.0,1.0449756944444444,1,5.0,0
C64_1035,0,0.0,1.0566805555555556,5.0,1.0566805555555556,1,5.0,0
C64_1036,0,0.0,1.0528287037037036,5.0,1.0528287037037036,1,5.0,0
C64_10365,1,1.5108483796296297,1.5108483796296297,3.0,18.130180555555555,12,36.0,0
C64_10367,1,1.509388888888889,1.509388888888889,3.0,18.112666666666666,12,36.0,0
C64_10369,1,1.5134537037037037,1.5134537037037037,3.0,18.161444444444445,12,36.0,0
C64_10370,1,1.5147743055555556,1.5147743055555556,3.0,18.17729166666667,12,36.0,0
C64_10371,1,1.5160590277777777,1.5160590277777777,3.0,18.192708333333332,12,36.0,0
C64_10372,1,1.5173796296296298,1.5173796296296298,3.0,18.208555555555556,12,36.0,0
C64_10374,1,1.5199849537037038,1.5199849537037038,3.0,18.239819444444446,12,36.0,0
C64_10375,1,1.5212708333333331,1.5212708333333331,3.0,18.255249999999997,12,36.0,0
C64_10376,1,1.5238761574074073,1.5238761574074073,3.0,18.286513888888887,12,36.0,0
C64_10378,1,1.4995231481481481,1.4995231481481481,3.0,16.49475462962963,11,33.0,0
C64_10379,1,1.4982025462962962,1.4982025462962962,3.0,16.480228009259257,11,33.0,0
C64_1038,0,0.0,1.0476840277777777,5.0,1.0476840277777777,1,5.0,0
C64_10381,1,1.4954930555555557,1.4954930555555557,3.0,16.450423611111113,11,33.0,0
C64_10382,1,1.4968472222222222,1.4968472222222222,3.0,16.465319444444443,11,33.0,0
C64_10383,1,1.500877314814815,1.500877314814815,3.0,18.010527777777778,12,36.0,0
C64_10384,1,1.5021979166666666,1.5021979166666666,3.0,18.026374999999998,12,36.0,0
C64_10385,1,1.5035520833333333,1.5035520833333333,3.0,18.042625,12,36.0,0
C64_10386,1,1.5062280092592593,1.5062280092592593,3.0,18.07473611111111,12,36.0,0
C64_1039,0,0.0,1.0463993055555554,5.0,1.0463993055555554,1,5.0,0
C64_10399,1,1.4750671296296296,1.4750671296296296,3.0,16.225738425925925,11,33.0,0
C64_104,0,0.0,0.6634814814814816,4.0,9.952222222222224,15,60.0,0
C64_1040,0,0.0,1.04896875,5.0,1.04896875,1,5.0,0
C64_10400,1,1.4830914351851852,1.4830914351851852,3.0,16.314005787037036,11,33.0,0
C64_10401,1,1.4765601851851853,1.4765601851851853,3.0,16.242162037037037,11,33.0,0
C64_10402,1,1.477880787037037,1.477880787037037,3.0,16.256688657407405,11,33.0,0
C64_10405,1,1.4817719907407407,1.4817719907407407,3.0,16.299491898148148,11,33.0,0
C64_10406,1,1.484412037037037,1.484412037037037,3.0,16.32853240740741,11,33.0,0
C64_10407,1,1.4856967592592591,1.4856967592592591,3.0,16.34266435185185,11,33.0,0
C64_10408,1,1.487017361111111,1.487017361111111,3.0,16.35719097222222,11,33.0,0
C64_10409,1,1.489622685185185,1.489622685185185,3.0,16.385849537037036,11,33.0,0
C64_1041,0,0.0,1.0515439814814813,5.0,1.0515439814814813,1,5.0,0
C64_1042,0,0.0,1.0541099537037038,5.0,1.0541099537037038,1,5.0,0
