number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iter,state
27,68.2595025167017,2026-07-16 11:33:29.216136,2026-07-16 11:33:32.211709,0 days 00:00:02.995573,0.5866276991994072,3.913896694827539,0.0963577921606693,7,4.677799274447368,0.08170501570391042,1.601670926709294,0.5394659447705248,,PRUNED
28,66.61126127770241,2026-07-16 11:33:32.211709,2026-07-16 11:33:36.635835,0 days 00:00:04.424126,0.6668106497278667,0.12664297639451316,0.04746751672856268,4,8.362826757142457,0.015906658853705045,2.403675876686577,0.6781046304680417,96.0,COMPLETE
29,67.53590296587149,2026-07-16 11:33:36.635835,2026-07-16 11:33:39.017715,0 days 00:00:02.381880,0.4966456992406592,4.403126079112219,0.08306098258565806,5,13.985892131955472,0.00784879058917819,0.5774629441491369,0.6152758878530111,,PRUNED
30,67.68431393861452,2026-07-16 11:33:39.017715,2026-07-16 11:33:41.946446,0 days 00:00:02.928731,0.8045259699072966,3.0380057894556227,0.06498897300876999,6,15.70221692195254,0.35148037713788105,0.0014824522730226873,0.5689559792907272,,PRUNED
31,66.70882863891529,2026-07-16 11:33:41.946446,2026-07-16 11:33:45.729512,0 days 00:00:03.783066,0.7075257048305722,3.333306266790965,0.09923601685590454,4,9.75026097317441,0.10634719680959999,6.553043654118974,0.5239740312003989,62.0,COMPLETE
32,66.34555432631835,2026-07-16 11:33:45.729512,2026-07-16 11:33:50.498682,0 days 00:00:04.769170,0.7299692722246656,3.6991606555636283,0.08829930289385729,4,6.508171719009004,0.04603109583298717,9.499940639570827,0.5022321511586179,98.0,COMPLETE
33,66.7520807616694,2026-07-16 11:33:50.499683,2026-07-16 11:33:55.086396,0 days 00:00:04.586713,0.750252718565095,4.260011453544202,0.079933675464846,5,6.457610341883006,0.005309308917572224,5.485513451154716,0.5874419911511873,80.0,COMPLETE
34,66.47391545948165,2026-07-16 11:33:55.086396,2026-07-16 11:33:59.976825,0 days 00:00:04.890429,0.7728845402502401,3.65732289652079,0.044874181664980105,4,3.2091980184486215,0.0406214514633228,0.0030850464607638773,0.5326586761758444,125.0,COMPLETE
35,66.47893479066397,2026-07-16 11:33:59.976825,2026-07-16 11:34:05.565970,0 days 00:00:05.589145,0.7805271017007863,3.74127409865512,0.02944949256286412,4,3.1053961963473045,0.0010515605902381851,0.003291876527880703,0.5253968659022948,168.0,COMPLETE
36,66.58965099857387,2026-07-16 11:34:05.565970,2026-07-16 11:34:11.715318,0 days 00:00:06.149348,0.9070527330616094,3.7564685254812153,0.023543220889735365,4,3.019709816299792,0.0012585536844684315,0.0052843613904761935,0.5324064938458382,198.0,COMPLETE
37,66.54674944261194,2026-07-16 11:34:11.715318,2026-07-16 11:34:18.883815,0 days 00:00:07.168497,0.7801312111303269,4.453018319582427,0.017634149705194065,4,2.912279172158149,0.0027646977091999366,0.0040320015676733765,0.6235016731871792,261.0,COMPLETE
38,69.26919558822294,2026-07-16 11:34:18.883815,2026-07-16 11:34:25.990874,0 days 00:00:07.107059,0.8808365944647567,4.171681043670272,0.029408765720266024,9,4.778570561977539,0.004408725854762021,0.0032622850000516702,0.5743108018320447,,PRUNED
39,67.30550575789977,2026-07-16 11:34:25.990874,2026-07-16 11:34:29.070877,0 days 00:00:03.080003,0.9499197217397465,4.992801251210332,0.03912829593012504,5,2.4123987302248104,0.9928709221046812,0.00907702651397546,0.6828378217794787,,PRUNED
40,67.33206245933302,2026-07-16 11:34:29.070877,2026-07-16 11:34:32.390607,0 days 00:00:03.319730,0.7315668483941921,3.795633074249733,0.032530596831855434,5,5.68676146138806,2.3081946988427045,0.001048174374948783,0.7839778391003962,,PRUNED
41,66.57014893601195,2026-07-16 11:34:32.390607,2026-07-16 11:34:40.305415,0 days 00:00:07.914808,0.7670769276046031,3.277729412082584,0.021713756297032327,4,3.9324508906608093,0.02127073076617046,0.0027133088559456067,0.5240088647843892,308.0,COMPLETE
42,66.43139879003877,2026-07-16 11:34:40.305415,2026-07-16 11:34:44.743849,0 days 00:00:04.438434,0.824097015997381,3.5741999990267517,0.048259940641189575,4,6.995001966533149,0.23368421684365648,0.07509979600381203,0.5252598519652162,104.0,COMPLETE
43,66.43701997276298,2026-07-16 11:34:44.743849,2026-07-16 11:34:50.107797,0 days 00:00:05.363948,0.8423377519693291,2.7650418958990355,0.04652312057535705,4,1.0786596175838161,0.17294036740234006,0.043243134961045794,0.5262332069944706,157.0,COMPLETE
44,67.4097318031177,2026-07-16 11:34:50.107797,2026-07-16 11:34:53.110108,0 days 00:00:03.002311,0.8507649778093067,2.6804764972720454,0.04486160418801822,5,1.6512610735159976,0.18696322699743784,0.06892127714329487,0.5984430424067161,,PRUNED
45,66.42434985834146,2026-07-16 11:34:53.110108,2026-07-16 11:34:59.350845,0 days 00:00:06.240737,0.9239700456396636,3.0992596322862402,0.04961140558929794,4,6.897116575053336,0.11113950252511487,0.03205444627018559,0.5621232991965762,204.0,COMPLETE
46,69.47979746051735,2026-07-16 11:34:59.350845,2026-07-16 11:35:16.532548,0 days 00:00:17.181703,0.9961158800407224,2.1772112572041897,0.012896671394019003,11,6.071388059348481,0.5357854927246875,0.032133818352285626,0.5606239213349188,,PRUNED
47,66.52465250216567,2026-07-16 11:35:16.532548,2026-07-16 11:35:22.275604,0 days 00:00:05.743056,0.9202460570229045,3.154855814011187,0.060120519493571105,4,7.399700373536562,0.23978567850983756,0.12330477771439444,0.6411086497109932,178.0,COMPLETE
48,67.2748259881675,2026-07-16 11:35:22.275604,2026-07-16 11:35:24.996196,0 days 00:00:02.720592,0.8276587582050682,2.9807521136352326,0.050002760501056696,5,7.173506900697655,0.1172979260537813,0.012503592947147778,0.960624153335582,,PRUNED
49,66.41508380430169,2026-07-16 11:35:24.996196,2026-07-16 11:35:31.693344,0 days 00:00:06.697148,0.9347703146151801,2.808393690669157,0.03415453025686799,4,8.892985976213884,0.6114317420621607,0.035109722923321936,0.8370912120671969,237.0,COMPLETE
50,67.92718675589106,2026-07-16 11:35:31.693344,2026-07-16 11:35:41.657508,0 days 00:00:09.964164,0.9528484476229138,3.465906868521163,0.00800407582657189,6,8.809662209230414,1.812965159884645,0.018113432762705817,0.844713171057931,,PRUNED
51,66.4906640546562,2026-07-16 11:35:41.657508,2026-07-16 11:35:48.313868,0 days 00:00:06.656360,0.9258641428367649,2.837205823936388,0.03594317987269799,4,5.223570783825147,0.5632611863834519,0.029934798433334908,0.7206934760788837,230.0,COMPLETE
52,66.38297306490426,2026-07-16 11:35:48.313868,2026-07-16 11:35:55.187663,0 days 00:00:06.873795,0.8782954149928492,2.353287110798049,0.027015944979119196,4,6.891957479431703,0.07630553997211231,0.05392394823978756,0.8181242434283986,246.0,COMPLETE
53,66.41296435022356,2026-07-16 11:35:55.187663,2026-07-16 11:36:02.479507,0 days 00:00:07.291844,0.8922806587890348,2.346699348521653,0.02674484185815777,4,7.0039371779636195,0.07134785147230766,0.11514600334869671,0.8383844334559684,271.0,COMPLETE
54,67.32488399239219,2026-07-16 11:36:02.479507,2026-07-16 11:36:06.321218,0 days 00:00:03.841711,0.882441987918951,2.233940018427065,0.026224272818612972,5,8.393978370651576,0.06828331373758706,0.12317678862059842,0.8301241907264566,,PRUNED
55,66.46202412899015,2026-07-16 11:36:06.321218,2026-07-16 11:36:15.002359,0 days 00:00:08.681141,0.9697093409949814,1.7531661841036443,0.019539354001187805,4,6.85273056366062,6.738938525081145,0.3906742389905066,0.808584660769019,348.0,COMPLETE
56,67.34281626156253,2026-07-16 11:36:15.002359,2026-07-16 11:36:18.450822,0 days 00:00:03.448463,0.8806448942992675,2.501009095920274,0.03296242602504907,5,8.787874240322557,0.09408118633226671,0.02085273149240125,0.9223847343623343,,PRUNED
57,66.42000301809621,2026-07-16 11:36:18.450822,2026-07-16 11:36:24.892399,0 days 00:00:06.441577,0.9833245074477068,2.241901851390563,0.024578717440675416,4,10.319863968427072,0.01328020979575791,0.00834846478123556,0.8768575069317422,218.0,COMPLETE
58,67.3470502111653,2026-07-16 11:36:24.892399,2026-07-16 11:36:30.142762,0 days 00:00:05.250363,0.9994920060274274,1.386752000913674,0.0162724598207747,5,10.48346769924116,0.028836281900679973,0.007968793927054374,0.8910484313189817,,PRUNED
59,66.5039502141916,2026-07-16 11:36:30.142762,2026-07-16 11:36:36.524741,0 days 00:00:06.381979,0.9480600191408705,2.0715083352687493,0.025548434047332792,4,11.613077029244021,0.056634351813899704,0.11704680787874153,0.8664618450473249,216.0,COMPLETE
