number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_child_samples,params_min_split_gain,params_num_leaves,user_attrs_mean_best_iter,state
20,68.63601150171729,2026-07-16 11:13:29.356196,2026-07-16 11:13:58.694220,0 days 00:00:29.338024,0.964051434116436,6,0.8015459579606796,0.01895914069202783,0.0011129709953152695,0.005910888364590845,100,0.9938427850497087,178,,PRUNED
21,68.2949607330503,2026-07-16 11:13:58.694220,2026-07-16 11:14:12.028117,0 days 00:00:13.333897,0.6620433464699486,3,0.5075589391126015,0.09822693018469607,1.0896476443671093,0.01736486031461071,62,0.1485441743315557,89,,PRUNED
22,68.1029931190525,2026-07-16 11:14:12.028117,2026-07-16 11:14:23.760415,0 days 00:00:11.732298,0.6404136320031355,3,0.5691591018388544,0.06870514787150858,9.769656942728064,0.02073807733488838,46,0.2830691151647443,133,,PRUNED
23,68.20153848990817,2026-07-16 11:14:23.760415,2026-07-16 11:14:42.838418,0 days 00:00:19.078003,0.7051984933566552,2,0.410987318854307,0.6814490184771304,1.816807700751952,0.008096080366417445,66,0.09782767902963593,49,,PRUNED
24,67.49261603856654,2026-07-16 11:14:42.838418,2026-07-16 11:14:52.992218,0 days 00:00:10.153800,0.5598939141780701,4,0.645576569362019,0.19400092989028828,0.0045493796331106465,0.04035550887735471,78,0.2413934352374994,115,113.0,COMPLETE
25,68.33426265627203,2026-07-16 11:14:52.992218,2026-07-16 11:15:09.414166,0 days 00:00:16.421948,0.6294659586735386,3,0.4566608533065486,0.0024256143284162625,0.5479094852233629,0.01322048024565719,51,0.5194941285290651,77,,PRUNED
26,68.22218832668295,2026-07-16 11:15:09.414166,2026-07-16 11:15:18.880128,0 days 00:00:09.465962,0.6914473712388063,2,0.7159854767236118,0.05136721668397898,2.967527635851193,0.02706229677281073,62,0.7306171006433202,79,,PRUNED
27,68.13723062485323,2026-07-16 11:15:18.880128,2026-07-16 11:15:27.681885,0 days 00:00:08.801757,0.6118387273039415,4,0.546623947604357,0.012044546386579723,0.2662009762857015,0.01833301585031571,89,0.36195547473789397,48,,PRUNED
28,68.46250405132878,2026-07-16 11:15:27.681885,2026-07-16 11:15:36.281506,0 days 00:00:08.599621,0.5535010728508853,3,0.44867372679319695,1.4318304382737446,1.269461733598594,0.06945238870565734,37,0.12889458297115047,112,,PRUNED
29,67.27179968781526,2026-07-16 11:15:36.281506,2026-07-16 11:15:52.496458,0 days 00:00:16.214952,0.5412588716535096,2,0.7251764115866387,0.0015822946681711522,4.726741831378898,0.013582100982319429,77,0.56186334654734,46,343.0,COMPLETE
